"Author_name","PC","PY_start","PY_end","Pub_period","Author_count_avg","PC_annu","PY_first_start","PY_first_end","First_period","PC_first","PC_first_annu","Author_index","Author_color","OC","PY_off_start","PY_off_end","Off_period","PC_off","PC_off_annu","Family_degree_out","Family_degree_in","Family_index","Family_size","AG","PY_col_in_start","PY_col_in_end","Col_in_period","PC_col_in","PC_col_in_annu","R_PC_col_in_PC","R_PC_col_in_PC_annu","PY_col_out_start","PY_col_out_end","Col_out_period","PC_col_out","PC_col_out_annu","R_PC_col_out_PC_annu","R_PC_col_out_PC","PC_col_tot","degree_all","degree_out","degree_in","R_deg_in_out","PCxOCxCC","PCxOCxCC_norm"
"NEUMANN D",2,1971,1978,8,1.5,0.25,NA,NA,0,0,0,79,"#39176E",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"TAKIMOTO A",1,1971,1971,1,1,1,NA,NA,0,0,0,-80,"#A26DE2",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"HATAKEYAMA I",1,1971,1971,1,1,1,NA,NA,0,0,0,81,"#47471C",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"SAVIC N",1,1971,1971,1,1,1,NA,NA,0,0,0,-82,"#A20652",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ITO S",1,1971,1971,1,1,1,2003,2017,15,8,0.533333333333333,83,"#419D10",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BLUME J",1,1971,1971,1,1,1,NA,NA,0,0,0,-84,"#754604",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"LEBEDEV DD",1,1971,1971,1,1,1,NA,NA,0,0,0,85,"#545629",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BAILLAUD L",1,1971,1971,1,1,1,NA,NA,0,0,0,-86,"#E95FD3",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"GUILLOT N",2,1971,1971,1,1,2,NA,NA,0,0,0,87,"#457BB4",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"GEORGE JE",1,1971,1971,1,1,1,NA,NA,0,0,0,-88,"#7E2BD1",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WILLIAMS RL",1,1971,1971,1,3,1,1985,1985,1,1,1,89,"#7F0C20",1,1971,1971,1,1,1,1,0,12,2,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"WOHLRAB F",1,1971,1971,1,1,1,NA,NA,0,0,0,-90,"#98F323",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ROSSMAN LG",1,1971,1971,1,2,1,NA,NA,0,0,0,91,"#B0A8E2",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"O'DONNELL DR",1,1971,1971,1,1,1,NA,NA,0,0,0,-92,"#A589BB",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"ROSS GT",1,1971,1971,1,3,1,NA,NA,0,0,0,93,"#27F5B2",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"GELLER I",1,1971,1971,1,1,1,NA,NA,0,0,0,-94,"#30B463",0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
"BENZER S",1,1971,1971,1,2,1,NA,NA,0,0,0,95,"#F0874B",1,1971,1971,1,1,1,1,0,13,2,1,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0
